Name,Description,IsProperty,IsActive,RowGUID,OwnerID,ItemID
"No CQS assigned (defaulted)","Indicates that no CQS was assigned, because the instrument/exposure/positon is assigned to the category/bucket 'defaulted' (e.g. for the purposes of identifying the applicable risk weight)",0,-1,"{B127D0D2-BB88-45E9-8EC9C3819C6EBD2F}",1012,10761
"No CQS assigned (0% risk weight)","Indicates that no CQS was assigned, because the risk weight applicable to the instrument/exposure/positon is assigned based on the fact that the exposure would receive a 0% risk weight under the Standardised Approach for credit risk",0,-1,"{BFD57DEE-A592-4712-A1A9CF211A7D8E4D}",1012,10762
"CQS All other","Credit quality steps other than CQS1 to CQS17",0,-1,"{E82E3947-7DFD-4C41-BD8402A5A8B0C57A}",1012,10763
"Corporates (Default risk charge (DRC))","(Portfolio consisting of) exposures allocated to the bucket 'corporates' of the risk classes 'instruments other than securitisations' or 'securitisations that are not included in the ACTP', as defined for the purposes ofthe default risk charge (DRC) (Mark",0,-1,"{22BF47A5-4DC0-4F51-BBF04B637FF5D644}",1012,10764
"Sovereigns (Default risk charge (DRC))","(Portfolio consisting of) exposures allocated to the bucket 'sovereigns' of the risk class 'instruments other than securitisations' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{D8B49F19-6D21-47EC-8E35B0A54703F04E}",1012,10765
"Local governments/municipalities  (Default risk charge (DRC))","(Portfolio consisting of) exposures allocated to the bucket 'local governments/municipalities' of the risk class 'instruments other than securitisations' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{C89C2996-F5EC-46B9-834F15E987AB1718}",1012,10766
"ABCP - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'ABCP - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{EC6E8FF4-81A2-4976-B4BB9782B582DE65}",1012,10767
"ABCP - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'ABCP - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{513D4268-83C4-44F4-84BBCA1AA069AD74}",1012,10768
"ABCP - North America","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'ABCP - North America' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{3492DEED-3F62-4097-A554F0DE85B95359}",1012,10769
"ABCP - Rest of the world","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'ABCP - Rest of the world' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{A3E9AC04-DAF8-4AB2-96954EA4393D9D61}",1012,10770
"Auto loans/leases - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Auto loans/leases - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{771FFA00-4725-4C28-81E7CB3896BDCA46}",1012,10771
"Auto loans/leases - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Auto loans/leases - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{70CC18CA-50C7-4E52-A58050E25C3B0278}",1012,10772
"Auto loans/leases - North America","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Auto loans/leases - North America' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{BF4C3485-0AC2-46E7-B33759E81CA9FCC4}",1012,10773
"Auto loans/leases - Rest of the world","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Auto loans/leases - Rest of the world' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{5B47C9A0-74F3-4ECE-BF60166CA585B283}",1012,10774
"Collateralised debt obligations squared (CDO-squared) - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised debt obligations squared (CDO-squared) - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk cha",0,-1,"{20BFF92A-C853-4029-9E4BB37536FB7C74}",1012,10775
"Collateralised debt obligations squared (CDO-squared) - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised debt obligations squared (CDO-squared) - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk c",0,-1,"{EC44FF73-C8DE-4D05-8B04F53A96B9A0F9}",1012,10776
"Collateralised debt obligations squared (CDO-squared) - North America","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised debt obligations squared (CDO-squared) - North America' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default",0,-1,"{9EFA3DD3-3718-4097-82C70ED5FA8B8C5F}",1012,10777
"Collateralised debt obligations squared (CDO-squared) - Rest of the world","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised debt obligations squared (CDO-squared) - Rest of the world' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe def",0,-1,"{85101F65-86EB-4346-9C7D9920C24DA035}",1012,10778
"Collateralised loan obligations - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised loan obligations - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk",0,-1,"{61F0F357-913D-445E-810C0CDC51EFA85C}",1012,10779
"Collateralised loan obligations - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised loan obligations - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market ri",0,-1,"{B71150AA-7B1D-45EA-8271051037EC3AF7}",1012,10780
"Collateralised loan obligations - North America","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised loan obligations - North America' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Ma",0,-1,"{394B006B-3E60-45FF-A74F93A1C9D6C92D}",1012,10781
"Collateralised loan obligations - Rest of the world","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Collateralised loan obligations - Rest of the world' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC)",0,-1,"{A1EA8F10-D063-4830-A49A2D2DA2ABA08F}",1012,10782
"Commercial mortgage-backed securities (CMBS) - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Commercial mortgage-backed securities (CMBS) - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC)",0,-1,"{26F4D93A-8EED-4455-A3A7D64DEBB0AB42}",1012,10783
"Commercial mortgage-backed securities (CMBS) - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Commercial mortgage-backed securities (CMBS) - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DR",0,-1,"{88B9F417-4140-4351-B74D6ABFD9C2F633}",1012,10784
"Commercial mortgage-backed securities (CMBS) - North America","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Commercial mortgage-backed securities (CMBS) - North America' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk cha",0,-1,"{0BADC3B6-67F8-4D29-B1C9A87F74E6AD83}",1012,10785
"Commercial mortgage-backed securities (CMBS) - Rest of the world","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Commercial mortgage-backed securities (CMBS) - Rest of the world' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk",0,-1,"{C50857FA-AF1A-444F-A25B652A5949AA22}",1012,10786
"Credit cards - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Credit cards - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{80E45505-D9A9-44C0-8C0F614018CCE2E2}",1012,10787
"Credit cards - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Credit cards - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{49E2B311-8846-4A26-A5768EEDC74D80DD}",1012,10788
"Credit cards - North America","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Credit cards - North America' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{58A12884-8EB0-45F4-B4A19A0FEE5B66D3}",1012,10789
"Credit cards - Rest of the world","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Credit cards - Rest of the world' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{A3C6B256-E771-41D6-BE0C0B858315A7FC}",1012,10790
"Other retail - Asia","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Other retail - Asia' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{F9A8F250-61A2-4E93-84A368F8B4A62066}",1012,10791
"Other retail - Europe","(Portfolio consisting of) exposures allocated to the bucket/subbucket 'Other retail - Europe' of the risk class 'securitisations that are not included in the ACTP' , as defined for the purposes ofthe default risk charge (DRC) (Market risk)",0,-1,"{EA0304BF-DD9A-482C-B131B45FEC2D205F}",1012,10792
