StartDate,EndDate,Status,ReleaseID,Error,VariableGenerationID
"08/23/24 08:15:21","08/23/24 08:15:32","failed",3,"Variables generation process can not be launched: There are blocking model violations.",66
"08/23/24 08:22:22","08/23/24 08:27:18","failed",3,"Variables generation process failed: There are blocking model violations.",67
"08/23/24 10:11:22","08/23/24 10:11:34","failed",3,"Variables generation process can not be launched: There are blocking model violations.",68
"08/23/24 10:11:39","08/23/24 10:11:49","failed",3,"Variables generation process can not be launched: There are blocking model violations.",69
"08/23/24 11:35:52","08/23/24 11:40:46","failed",3,"Variables generation process failed: There are blocking model violations.",70
"08/23/24 14:03:41","08/23/24 14:08:39","failed",3,"Variables generation process failed: There are blocking model violations.",71
"08/23/24 16:22:46","08/23/24 16:27:43","failed",3,"Variables generation process failed: There are blocking model violations.",72
"08/23/24 17:50:01","08/23/24 17:54:58","failed",3,"Variables generation process failed: There are blocking model violations.",73
"08/23/24 18:16:12","08/23/24 18:21:09","failed",3,"Variables generation process failed: There are blocking model violations.",74
"08/26/24 13:35:13","08/26/24 13:40:14","failed",3,"Variables generation process failed: There are blocking model violations.",75
"08/26/24 15:57:14","08/26/24 15:57:26","failed",3,"Variables generation process can not be launched: There are blocking model violations.",76
"08/26/24 15:57:28","08/26/24 15:57:40","failed",3,"Variables generation process can not be launched: There are blocking model violations.",77
"08/26/24 15:57:47","08/26/24 15:57:58","failed",3,"Variables generation process can not be launched: There are blocking model violations.",78
"08/26/24 15:59:46","08/26/24 15:59:57","failed",3,"Variables generation process can not be launched: There are blocking model violations.",79
"08/26/24 16:18:05","08/26/24 16:18:16","failed",3,"Variables generation process can not be launched: There are blocking model violations.",80
"08/26/24 16:32:27","08/26/24 16:32:38","failed",3,"Variables generation process can not be launched: There are blocking model violations.",81
"08/26/24 16:32:42","08/26/24 16:32:53","failed",3,"Variables generation process can not be launched: There are blocking model violations.",82
"08/26/24 16:33:04","08/26/24 16:33:14","failed",3,"Variables generation process can not be launched: There are blocking model violations.",83
"08/26/24 16:39:28","08/26/24 16:44:19","failed",3,"Variables generation process failed: There are blocking model violations.",84
"08/27/24 10:07:40","08/27/24 10:12:34","failed",3,"Variables generation process failed: There are blocking model violations.",85
"08/27/24 10:12:55","08/27/24 10:17:49","failed",3,"Variables generation process failed: There are blocking model violations.",86
"08/27/24 18:54:58","08/27/24 18:55:10","failed",3,"Variables generation process can not be launched: There are blocking model violations.",87
"08/27/24 18:55:17","08/27/24 18:55:29","failed",3,"Variables generation process can not be launched: There are blocking model violations.",88
"08/28/24 08:03:48","08/28/24 08:08:42","failed",3,"Variables generation process failed: There are blocking model violations.",89
"08/28/24 11:10:06","08/28/24 11:10:19","failed",3,"Variables generation process can not be launched: There are blocking model violations.",90
"08/28/24 11:10:24","08/28/24 11:10:36","failed",3,"Variables generation process can not be launched: There are blocking model violations.",91
"08/28/24 11:24:09","08/28/24 11:29:01","failed",3,"Variables generation process failed: There are blocking model violations.",92
"08/28/24 16:10:25","08/28/24 16:15:19","failed",3,"Variables generation process failed: There are blocking model violations.",93
"08/28/24 16:16:04","08/28/24 16:20:57","failed",3,"Variables generation process failed: There are blocking model violations.",94
"08/29/24 09:45:46","08/29/24 09:45:58","failed",3,"Variables generation process can not be launched: There are blocking model violations.",95
"08/29/24 10:20:57","08/29/24 10:25:49","failed",3,"Variables generation process failed: There are blocking model violations.",96
"08/29/24 11:42:23","08/29/24 11:47:15","failed",3,"Variables generation process failed: There are blocking model violations.",97
"08/29/24 12:59:24","08/29/24 13:04:18","failed",3,"Variables generation process failed: There are blocking model violations.",98
"08/29/24 15:33:17","08/29/24 15:38:10","failed",3,"Variables generation process failed: There are blocking model violations.",99
"08/29/24 15:39:50","08/29/24 15:44:43","failed",3,"Variables generation process failed: There are blocking model violations.",100
"08/29/24 16:22:40","08/29/24 16:27:34","failed",3,"Variables generation process failed: There are blocking model violations.",101
"08/29/24 16:45:12","08/29/24 16:50:05","failed",3,"Variables generation process failed: There are blocking model violations.",102
"08/29/24 17:02:36","08/29/24 17:07:30","failed",3,"Variables generation process failed: There are blocking model violations.",103
"08/30/24 11:11:24","08/30/24 11:11:37","failed",3,"Variables generation process can not be launched: There are blocking model violations.",104
"08/30/24 11:22:22","08/30/24 11:22:34","failed",3,"Variables generation process can not be launched: There are blocking model violations.",105
"08/30/24 11:22:38","08/30/24 11:22:49","failed",3,"Variables generation process can not be launched: There are blocking model violations.",106
"08/30/24 11:26:22","08/30/24 11:31:15","failed",3,"Variables generation process failed: There are blocking model violations.",107
"08/30/24 13:26:38","08/30/24 13:26:51","failed",3,"Variables generation process can not be launched: There are blocking model violations.",108
"08/30/24 13:32:58","08/30/24 13:37:52","failed",3,"Variables generation process failed: There are blocking model violations.",109
"08/30/24 14:01:54","08/30/24 14:06:49","failed",3,"Variables generation process failed: There are blocking model violations.",110
"08/30/24 14:20:33","08/30/24 14:33:39","success",3,,111
"08/30/24 14:36:25","08/30/24 14:47:29","success",3,,112
"09/02/24 18:03:07","09/02/24 18:10:33","failed",3,"Variables generation process failed: There are blocking model violations.",113
"09/02/24 18:29:47","09/02/24 18:41:18","success",3,,114
"09/02/24 18:42:08","09/02/24 18:56:18","success",3,,115
"09/03/24 13:22:48","09/03/24 13:33:11","success",3,,116
"09/04/24 19:43:18","09/04/24 19:50:36","failed",3,"Variables generation process failed: There are blocking model violations.",117
"09/05/24 06:35:09","09/05/24 06:40:24","failed",3,"Variables generation process failed: There are blocking model violations.",118
"09/05/24 08:12:34","09/05/24 08:18:39","failed",3,"Variables generation process failed: There are blocking model violations.",119
"09/05/24 16:30:14","09/05/24 16:30:36","failed",3,"Variables generation process can not be launched: There are blocking model violations.",120
"09/05/24 16:31:05","09/05/24 16:31:25","failed",3,"Variables generation process can not be launched: There are blocking model violations.",121
"09/05/24 16:36:40","09/05/24 16:41:20","failed",3,"Variables generation process failed: There are blocking model violations.",122
"09/05/24 18:17:49","09/05/24 18:26:10","success",3,,123
"09/05/24 19:44:52",,"failed",3,"could not extract ResultSet; nested exception is org.hibernate.exception.GenericJDBCException: could not extract ResultSet",124
"09/06/24 08:29:22","09/06/24 08:37:54","success",3,,125
"09/06/24 09:21:40","09/06/24 09:30:12","success",3,,126
"09/09/24 14:53:10","09/09/24 15:01:46","success",3,,127
"09/09/24 15:23:18","09/09/24 15:31:52","success",3,,128
"09/11/24 19:18:52","09/11/24 19:25:37","failed",3,"Variables generation process failed: There are blocking model violations.",129
"09/11/24 20:10:52","09/11/24 20:18:07","success",3,,130
"09/11/24 20:19:57","09/11/24 20:28:37","success",3,,131
"09/18/24 10:09:50","09/18/24 10:19:10","success",3,,132
"10/03/24 15:45:06","10/03/24 15:45:39","failed",3,"Variables generation process can not be launched: There are blocking model violations.",133
"10/03/24 15:51:47","10/03/24 16:01:06","success",3,,134
"11/08/24 16:09:32","11/08/24 16:14:54","failed",3,"Variables generation process failed: There are blocking model violations.",135
"11/09/24 10:54:12","11/09/24 10:54:40","failed",3,"Variables generation process can not be launched: There are blocking model violations.",136
"11/09/24 10:57:59","11/09/24 11:01:33","failed",3,"Variables generation process failed: There are blocking model violations.",137
"11/09/24 11:17:32","11/09/24 11:21:06","failed",3,"Variables generation process failed: There are blocking model violations.",138
"11/09/24 12:38:26","11/09/24 12:41:57","failed",3,"Variables generation process failed: There are blocking model violations.",139
"11/09/24 12:45:39","11/09/24 12:49:13","failed",3,"Variables generation process failed: There are blocking model violations.",140
"11/09/24 12:54:08","11/09/24 12:57:46","failed",3,"Variables generation process failed: There are blocking model violations.",141
"11/10/24 18:47:29","11/10/24 18:51:03","failed",3,"Variables generation process failed: There are blocking model violations.",142
"11/10/24 19:15:35","11/10/24 19:19:10","failed",3,"Variables generation process failed: There are blocking model violations.",143
"11/11/24 14:02:15","11/11/24 14:02:44","failed",3,"Variables generation process can not be launched: There are blocking model violations.",144
"11/11/24 14:08:40","11/11/24 14:12:19","failed",3,"Variables generation process failed: There are blocking model violations.",145
"11/11/24 15:00:36","11/11/24 15:05:10","failed",3,"Variables generation process failed: There are blocking model violations.",146
"11/11/24 15:00:36","11/11/24 15:08:23","failed",3,"Variables generation process failed: There are blocking model violations.",147
"11/11/24 15:16:58","11/11/24 15:20:35","failed",3,"Variables generation process failed: There are blocking model violations.",148
"11/11/24 15:28:02","11/11/24 15:36:41","success",3,,149
"11/11/24 15:48:54","11/11/24 15:49:12","failed",3,"Variables generation process can not be launched: There are blocking model violations.",150
